"Variable","Eco-Innovation","Recycling","Resource Reduction","Energy Saving","Sustainable Products"
"AI","0.04*** (0.009)","0.01 (0.648)","0.058*** (0.01)","0.053** (0.014)","0.075*** (0)"
"bigdata","0.066*** (0)","0.035** (0.028)","0.038** (0.024)","0.02 (0.208)","0.065*** (0)"
"cloud","0.024** (0.014)","0.078*** (0)","0.084*** (0)","0.055*** (0)","0.067*** (0)"
"Family_owned","0.048*** (0)","0.053*** (0)","0.05*** (0)","0.048*** (0)","0.042*** (0.001)"
"finance_capability","0.031** (0.022)","0.003 (0.878)","0.018 (0.311)","0.024 (0.177)","0.039** (0.014)"
"highspeed","0.032*** (0.001)","0.064*** (0)","0.091*** (0)","0.075*** (0)","0.063*** (0)"
"industrial_area","0.025** (0.042)","0.04** (0.013)","0.001 (0.954)","0.008 (0.612)","0.033** (0.026)"
"size","0.01*** (0.007)","0.009** (0.036)","0.013*** (0.005)","0.028*** (0)","0.002 (0.585)"
"robot","0.042*** (0.003)","0.044** (0.025)","0.059*** (0.004)","0.073*** (0)","0.074*** (0)"
"skills_barrier","-0.089*** (0)","-0.015 (0.249)","-0.07*** (0)","-0.082*** (0)","-0.103*** (0)"
"smart_devices","0.142*** (0)","0.105*** (0)","0.139*** (0)","0.143*** (0)","0.107*** (0)"
"urban_area","-0.02** (0.028)","-0.023** (0.04)","-0.021* (0.07)","-0.052*** (0)","-0.003 (0.797)"
